央视（广西移动0-999）,#genre#
东南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225904/index.m3u8
贵州卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225770/index.m3u8
河北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225773/index.m3u8
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225898/index.m3u8
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
山东教育卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225708/index.m3u8
海南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225752/index.m3u8
陕西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8
天津卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
吉林卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
青海卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225705/index.m3u8
四川卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225757/index.m3u8
江西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225957/index.m3u8
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8
甘肃卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225764/index.m3u8
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225779/index.m3u8
宁夏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225782/index.m3u8
山西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
新疆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225788/index.m3u8
云南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225794/index.m3u8
西藏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225800/index.m3u8
河南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225806/index.m3u8
厦门卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225823/index.m3u8
兵团卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8


纪实科教,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225995/index.m3u8
精品记录,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
健康,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225684/index.m3u8
农业致富,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225687/index.m3u8
中国功夫,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225690/index.m3u8
音乐,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225693/index.m3u8
电影,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225698/index.m3u8
金鹰纪实,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225699/index.m3u8
金鹰卡通,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225702/index.m3u8
动作电影,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225703/index.m3u8
古装剧场,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225706/index.m3u8
军旅剧场,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8
精品大剧,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225737/index.m3u8
家庭剧场,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
军事评论,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225749/index.m3u8
金牌综艺,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225755/index.m3u8
嘉佳卡通,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225797/index.m3u8
